epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,36.9513,0.84796,4.63503,0.27302,0.79212,1.05209,0.81088,1,0.95056,0.33444,0.09504,0.11111,0.01313,0.00394,1.96947,7.94225,0.4304,1.29455,2.193,0.000478762,0.000478762,0.000478762
38,37.8135,0.81767,4.18018,0.26431,0.74146,1.01103,0.89275,1,0.984,0.35444,0.11084,0.11111,0.01679,0.00504,2.01075,7.83609,0.48578,1.36358,2.20203,0.000445756,0.000445756,0.000445756
39,38.7192,0.81779,4.07484,0.26873,0.7658,1.09326,0.89481,1,0.984,0.37464,0.10853,0.11111,0.01473,0.00442,1.99561,7.66243,0.53219,1.25168,2.16174,0.000412749,0.000412749,0.000412749
40,39.5839,0.81595,4.54473,0.28119,0.74926,1.07663,0.8949,1,0.973,0.35248,0.10782,0.11111,0.01312,0.00394,1.99023,7.54102,0.52125,1.18285,2.15255,0.000379743,0.000379743,0.000379743
41,71.8747,0.71956,3.35948,0.13086,0.9888,1.05237,0.89422,1,0.951,0.34874,0.10734,0.11111,0.01311,0.0015,2.03783,7.4873,0.42114,1.22791,2.22043,0.000346736,0.000346736,0.000346736
42,73.0541,0.61308,2.72201,0.11455,0.79468,0.96115,0.89458,1,0.929,0.32782,0.21531,0.22222,0.05056,0.00519,2.08768,7.19283,0.29599,1.18934,2.2553,0.000313729,0.000313729,0.000313729
43,73.9798,0.6164,2.67228,0.13643,0.76934,1.02783,0.89457,1,0.929,0.3432,0.21537,0.22222,0.05055,0.007,2.0769,7.13788,0.27368,1.20158,2.23223,0.000280723,0.000280723,0.000280723
44,74.8533,0.66725,2.57116,0.11591,0.81954,1.06598,0.89959,0.99588,0.918,0.30763,0.21361,0.22222,0.05054,0.00849,2.0108,6.92927,0.18374,1.17858,2.14577,0.000247716,0.000247716,0.000247716
45,75.8302,0.66221,2.66398,0.10456,0.80269,1.03847,0.89395,1,0.907,0.34327,0.2112,0.22222,0.05053,0.00903,1.94845,6.77444,0.13238,1.15689,2.06706,0.00021471,0.00021471,0.00021471
46,76.6909,0.55544,2.77689,0.10097,0.80382,0.95655,0.89281,1,0.907,0.34701,0.20604,0.22222,0.05678,0.00866,1.91877,6.65236,0.10687,1.1351,2.03284,0.000181703,0.000181703,0.000181703
47,77.5712,0.59945,2.49519,0.07871,0.80864,1.00106,0.89158,1,0.907,0.36331,0.20095,0.22222,0.0572,0.0087,1.88414,6.58503,0.09364,1.10731,1.99847,0.000148696,0.000148696,0.000148696
48,78.4312,0.58911,2.57989,0.08962,0.8343,0.99826,0.89255,1,0.907,0.37142,0.20965,0.22222,0.05718,0.0087,1.85318,6.51199,0.08799,1.0864,1.97915,0.00011569,0.00011569,0.00011569
49,79.2988,0.54176,2.21689,0.09721,0.73496,0.95615,0.89207,1,0.907,0.37247,0.21091,0.22222,0.05717,0.00862,1.84131,6.4667,0.0827,1.08663,1.99028,8.26832e-05,8.26832e-05,8.26832e-05
50,80.2368,0.55392,2.30137,0.07914,0.74609,0.9896,0.89172,1,0.8955,0.37155,0.21785,0.22222,0.05716,0.00862,1.84122,6.44235,0.08034,1.07802,2.00544,4.96766e-05,4.96766e-05,4.96766e-05
